Model,N_Features,RMSE_Mean,RMSE_Std,MAE_Mean,MAE_Std,Improve_%
K25_T15,1,8458.268282179279,5220.456364739577,7166.034752151201,4615.388999381403,1.5533273081507732
K25_T9,1,8494.198334585695,4853.213176497367,7119.93290891231,4189.113789345438,1.135133655378138
K25_T20_T24,2,8522.108248197512,4995.332785899298,7265.020372273322,4293.111848343554,0.8102872401858825
K25_T10_T24,2,8539.767122489275,5033.765159121327,7267.895743024393,4373.140635897096,0.6047537480441815
K25_T24,1,8568.173951509367,4996.647736561123,7300.383274324842,4315.992268252757,0.2741236822366923
K25_T20,1,8571.173193687737,4911.356606142981,7298.33160539064,4186.789478984701,0.23921518758895552
K25_T13_T24,2,8578.05642485779,5075.141121345134,7261.147965305361,4415.621277213371,0.15910053723099868
K25_T10,1,8580.087397037509,4951.818357294003,7307.169175001601,4254.504726890972,0.13546183877019766
K25_T10_T20,2,8580.65171101261,4921.539062072844,7304.394767821286,4204.994597689951,0.1288937291585353
K25_T10_T17_T24,3,8584.661698392903,4974.298610622932,7310.670559616119,4326.41942958066,0.0822210649728928
Baseline,0,8591.725906933136,4928.289510518942,7318.438948319899,4221.415432679606,0.0
K25_T3,1,8599.861420116353,4879.0812498122505,7273.174070899688,4131.758838599337,-0.09469009220431461
K25_T4,1,8604.955698521488,4909.258719580835,7304.417183532972,4176.79777855487,-0.15398293348343464
K25_T14,1,8608.290155250821,4909.769452939667,7336.230882250762,4247.58425398424,-0.19279302548884464
K25_T11_T20,2,8609.710786534912,4848.880499619225,7308.686254707436,4130.261526178142,-0.2093279021769411
K25_T23_T24,2,8613.796961600805,4948.666238953759,7344.353401946579,4283.32961812059,-0.2568873228353201
K25_T10_T12_T24,3,8616.096711288588,4998.200138906927,7454.783992199913,4393.980293634442,-0.283654350935315
K25_T2,1,8616.981122758465,5092.607782675885,7208.439553504691,4461.89730979443,-0.2939481089003254
K25_T13_T20,2,8617.963964868264,5007.587694034537,7302.268017483601,4311.038381082865,-0.30538751141904386
K25_T17_T24,2,8620.126718814123,4927.932943141224,7350.770932998994,4254.330738484871,-0.3305600316936187
K25_T20_T23,2,8620.493937823727,4866.2575244493,7345.937275250444,4151.588016819287,-0.3348341323060193
K25_T10_T23,2,8624.447100228597,4908.382857949117,7345.461302312244,4225.888683835474,-0.38084540463583644
K25_T19,1,8630.418310379266,4860.395965106906,7323.718096707578,4187.000288996441,-0.45034494658293134
K25_T10_T13,2,8631.522070225259,5043.219074640764,7313.308657262811,4382.616507715544,-0.46319172333011227
K25_T13,1,8633.18937636269,5021.962053638084,7318.390609478891,4341.32814082631,-0.4825976745381909
K25_T22,1,8634.27722685687,4956.661175579534,7301.136290394036,4231.9548964688875,-0.4952592806690551
K25_T23,1,8639.378859747914,4888.094912686995,7362.759183832626,4195.233130251809,-0.5546377215819314
K25_T17_T20,2,8643.474010680791,4823.3555474177865,7362.352803740784,4109.550267475821,-0.6023016132986398
K25_T10_T17,2,8645.885063883474,4873.176194290818,7366.17350435265,4188.5723669327035,-0.6303641146959076
K25_T11_T24,2,8649.873665078123,4902.118511406419,7360.642027828374,4200.446443082404,-0.6767878628211887
K25_T21,1,8651.55423661868,4914.723943927221,7441.727961575113,4178.368304178992,-0.696348211449175
K25_T18,1,8653.785322469186,4932.1534780880265,7295.386880364456,4257.047491980986,-0.7223160539370941
K25_T10_T11,2,8654.017676621086,4853.330604974973,7355.224417593037,4140.176092430462,-0.7250204483092706
K25_T17,1,8660.566732033873,4846.515150465495,7380.383538261596,4150.539110274874,-0.801245591938464
K25_T7,1,8660.98174973598,4889.568022040963,7333.7766379613795,4234.394004910778,-0.806076026551986
K25_T12_T13,2,8662.511755352863,4887.049328617886,7487.390046111827,4297.431688379584,-0.8238839225842471
K25_T8,1,8662.753957068991,5022.24150497099,7376.877564930389,4287.0487497568565,-0.8267029337905115
K25_T13_T23,2,8662.978751208811,4959.147219997829,7337.379841667326,4285.886703740729,-0.8293193363882551
K25_T11,1,8663.969269509827,4836.037307856199,7365.201350479047,4114.294917252078,-0.8408480829025808
K25_T12_T24,2,8666.13386019577,4956.319134184662,7502.631609317477,4329.2520366824065,-0.8660419811878638
K25_T10_T12,2,8684.51952693563,4899.124125003896,7535.209931336785,4281.572495210487,-1.0800346869493815
K25_T12_T17_T24,3,8692.072811133827,4921.813436049543,7541.234704259555,4293.926995060404,-1.1679481548604278
K25_T12_T20,2,8694.219696324406,4852.136530163363,7544.956020458488,4215.139204519317,-1.1929359770260166
K25_T11_T13,2,8697.32141281646,4921.410042567557,7368.656068352653,4221.0554703566595,-1.2290371809709781
K25_T11_T17,2,8706.44845686536,4778.062037799168,7405.797940440131,4068.322115173589,-1.3352678050361095
K25_T13_T17,2,8707.725665196818,4941.103372670043,7384.298797217528,4273.677446557166,-1.3501333669184659
K25_T10_T12_T17,3,8712.826888389067,4865.7736620475225,7579.46063605299,4251.23304779398,-1.4095070393040363
K25_T11_T23,2,8712.839421872477,4781.884055701051,7425.657929104302,4070.8124841926283,-1.4096529178335182
K25_T12,1,8713.108593881123,4876.109849645388,7556.534794810219,4247.31329565544,-1.412785839106399
K25_LASSO_Top3,3,8721.17702740595,4926.375565172218,7422.392398510843,4169.377182971371,-1.5066951841230627
K25_T25,1,8725.471078716802,4919.397343004229,7402.652072055607,4225.056842111065,-1.5566740982244356
K25_T17_T23,2,8729.557354946286,4777.374907454912,7449.010667924505,4094.9389277757787,-1.6042346963364662
K25_T12_T17,2,8744.584419285795,4837.348373775975,7601.93198379312,4206.159301386396,-1.7791362760922012
K25_T6,1,8756.40034423718,5037.608859717703,7416.147212506408,4317.259630470853,-1.9166630673257268
K25_T5,1,8759.488445740835,4791.7743149728085,7575.823748676242,4234.7833290135595,-1.9526058049910862
K25_T1_T20,2,8773.741867276429,5018.043577761468,7306.065073423127,4346.2899063504765,-2.118502874916137
K25_Granger_Top3,3,8777.813468248458,5086.267098978407,7347.754878361076,4350.823528729763,-2.1658926661656865
K25_T12_T23,2,8781.252607706272,4821.062408913146,7603.529328706971,4214.977186813382,-2.205921171440034
K25_T1_T10_T24,3,8794.32613700021,5121.939915653145,7299.021435746038,4561.5835150786625,-2.3580853516705433
K25_T11_T12,2,8794.770931832445,4777.400826990818,7618.992407728312,4127.856125581744,-2.3632623654283607
K25_T1_T24,2,8799.831246453197,5114.177692199254,7304.113067271593,4528.873479149388,-2.4221598986547033
K25_T1,1,8800.135120831967,5036.136880595983,7328.878108162314,4394.43215010148,-2.4256967244573517
K25_T1_T10,2,8804.985719745087,5035.267269820078,7336.1600790506545,4405.990506501288,-2.4821533545414964
K25_T1_T13,2,8822.557200303534,5151.742344824733,7346.175745781657,4555.771213773322,-2.686669661844401
K25_LASSO_Top5,5,8829.55685169817,5045.134519290138,7426.377526878129,4246.052969711117,-2.768139339420904
K25_T1_T17_T24,3,8835.706900293788,5072.815839229862,7376.087646223781,4453.6108928426365,-2.8397204008076002
K25_T1_T11,2,8841.83520950306,4972.574896341384,7364.404241925542,4310.493461656848,-2.9110484351938855
K25_T1_T17,2,8850.111582769712,4981.262699256959,7413.901388310065,4308.924613436188,-3.0073780127002285
K25_T1_T23,2,8854.174198624927,4956.816084989548,7400.823558625843,4328.55556169745,-3.0546632252317014
K25_T1_T10_T17,3,8855.985248396539,4978.7428841085375,7418.904190419719,4321.357907978784,-3.0757422236917216
K25_T1_T12_T24,3,8897.211995800248,5023.988902507515,7515.598530877648,4490.514216933681,-3.5555846657142354
K25_T1_T10_T12,3,8924.881667318154,4925.996654994832,7586.105262638446,4374.198121554075,-3.877634877948983
K25_T1_T12,2,8927.399834705948,4927.12584677131,7578.4338972055875,4366.843268999215,-3.906944092594228
K25_T1_T12_T17,3,8938.512039777681,4915.762195124099,7637.323352640209,4311.449554388274,-4.03628021425479
K25_T16_T24,2,9026.161802231316,5363.578245139107,7598.969348332272,4684.580271502387,-5.056445003065217
K25_T10_T16,2,9044.414884552767,5358.054976852914,7612.199728859423,4654.961953814156,-5.268894544858928
K25_T16,1,9055.299661978363,5329.277240716198,7628.311305419911,4614.609956759917,-5.395583612265187
K25_T16_T20,2,9056.869592316527,5334.9548379737535,7625.330059841697,4589.336444095338,-5.413856196320708
K25_T13_T16,2,9072.966332765262,5405.98638505977,7618.745319573461,4714.680423359505,-5.601207848632443
K25_T16_T17,2,9081.916210271746,5315.78657340602,7645.28354370724,4590.968576173735,-5.705376412707117
K25_T16_T23,2,9093.75994416349,5300.360713764561,7652.659839419366,4596.806344957253,-5.843226875117555
K25_T12_T16,2,9107.26367088613,5264.129640244302,7825.982480721597,4613.317025822425,-6.000398168393367
K25_T11_T16,2,9167.064660536485,5210.146989208012,7706.938437026275,4478.644060787859,-6.696428166302154
K25_T1_T16,2,9220.903263853037,5439.831310917364,7614.471773004652,4714.267668882909,-7.323061323594873
K25_Granger_Top5,5,9225.46191273119,5464.589340743496,7607.944879234157,4648.759903722438,-7.37611991656599
K25_AllTopics,25,10968.82643892212,5722.55694709655,9187.841006011962,5309.041601812546,-27.667322697885083
