Model,RMSE_d0,Improve_d0,RMSE_d1,Improve_d1,Δ_Improve
T2_T3_T6,8077.186295387987,11.50336251433317,8632.662087346162,-0.47646050230713416,-11.979823016640305
T1_T2_T3_T6,8132.461106120545,10.89775126449966,8652.785770266055,-0.7106821608874483,-11.608433425387108
T2_T3_T4_T6,8135.620231605612,10.8631387184224,8701.781859594683,-1.2809527893893455,-12.144091507811746
T2_T3_T5_T6,8149.843436024113,10.707304035492372,8748.321959811457,-1.822637902728667,-12.52994193822104
T3_T4_T5_T6,8204.410655380818,10.109445418220101,8711.04617506024,-1.3887811298870572,-11.498226548107159
